id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15674932,Okwudilichukwu,668,France,Male,33.0,3,0.0,2,1.0,0.0,181449.97,0
1,15749177,Okwudiliolisa,627,France,Male,33.0,1,0.0,2,1.0,1.0,49503.5,0
2,15694510,Hsueh,678,France,Male,40.0,10,0.0,2,1.0,0.0,184866.69,0
3,15741417,Kao,581,France,Male,34.0,2,148882.54,1,1.0,1.0,84560.88,0
4,15766172,Chiemenam,716,Spain,Male,33.0,5,0.0,2,1.0,1.0,15068.83,0
5,15771669,Genovese,588,Germany,Male,36.0,4,131778.58,1,1.0,0.0,136024.31,1
6,15692819,Ch'ang,593,France,Female,30.0,8,144772.69,1,1.0,0.0,29792.11,0
7,15669611,Chukwuebuka,678,Spain,Male,37.0,1,138476.41,1,1.0,0.0,106851.6,0
8,15691707,Manna,676,France,Male,43.0,4,0.0,2,1.0,0.0,142917.13,0
9,15591721,Cattaneo,583,Germany,Male,40.0,4,81274.33,1,1.0,1.0,170843.07,0
10,15635097,Fokine,599,Germany,Female,27.0,6,161801.47,2,1.0,0.0,109184.24,0
11,15674671,Chiu,687,Germany,Male,40.0,3,90432.92,1,1.0,0.0,1676.92,0
12,15717962,Rossi,759,Spain,Male,71.0,9,0.0,1,1.0,1.0,93081.87,0
13,15793029,Ts'ai,681,France,Male,47.0,5,0.0,1,1.0,1.0,72945.68,0
14,15643294,Chukwuemeka,703,France,Female,33.0,7,190566.65,1,1.0,1.0,79997.14,0
15,15690958,Tung,549,France,Female,25.0,5,0.0,2,1.0,0.0,162260.93,0
16,15566543,Macdonald,602,France,Male,36.0,7,0.0,2,0.0,1.0,135082.47,0
17,15679804,Esquivel,636,France,Male,36.0,4,117559.05,2,1.0,0.0,111573.3,0
18,15671358,Hargreaves,645,Germany,Female,55.0,8,120105.43,1,1.0,0.0,125083.29,1
19,15650670,Ts'ui,559,France,Male,61.0,1,153711.26,1,0.0,1.0,180890.4,1
20,15781496,Udegbulam,773,Spain,Male,35.0,9,0.0,2,0.0,1.0,87549.36,0
21,15691808,Nnachetam,554,France,Male,41.0,8,0.0,2,1.0,0.0,113926.31,0
22,15759913,Trentini,553,Germany,Female,43.0,9,85200.82,1,1.0,0.0,160574.09,0
23,15576044,Akabueze,554,Germany,Male,44.0,9,121823.26,1,1.0,0.0,79577.68,1
24,15626012,Obidimkpa,714,France,Male,26.0,6,149879.66,2,1.0,1.0,50016.17,0
25,15671137,Sazonova,703,Spain,Male,39.0,9,0.0,1,1.0,0.0,131363.57,1
26,15665180,Vasilieva,616,Spain,Male,31.0,3,136789.14,2,0.0,1.0,59346.4,0
27,15765461,Shih,586,France,Female,58.0,2,147262.11,1,1.0,1.0,100835.19,0
28,15794849,Chidubem,785,Spain,Male,41.0,4,0.0,1,1.0,0.0,170968.99,1
29,15573769,Yermolayev,834,France,Male,49.0,6,0.0,2,1.0,0.0,81999.53,0
30,15583026,L?,632,France,Male,32.0,5,0.0,2,1.0,1.0,105817.87,0
31,15704795,Kumm,746,France,Male,33.0,7,0.0,2,1.0,1.0,178067.33,0
32,15678626,Okonkwo,797,Spain,Female,55.0,0,99208.46,2,0.0,1.0,62402.38,1
33,15624993,Ch'ien,753,France,Female,36.0,9,128518.98,1,1.0,0.0,44567.83,0
34,15593973,Chiu,749,Germany,Male,50.0,5,132576.25,1,1.0,0.0,125939.18,1
35,15661591,Panicucci,413,Germany,Male,28.0,3,130969.77,2,1.0,1.0,158891.79,0
36,15635330,Walker,611,Spain,Male,45.0,0,0.0,2,1.0,0.0,82403.08,0
37,15761718,Lucchesi,752,France,Male,37.0,6,0.0,2,0.0,0.0,1187.88,0
38,15756475,Kenniff,551,Germany,Male,31.0,9,82293.82,2,0.0,1.0,91565.25,1
39,15653849,Ting,747,Germany,Male,58.0,9,114514.71,1,1.0,0.0,45414.12,1
40,15799785,Hs?,714,France,Male,52.0,8,0.0,2,1.0,1.0,147815.19,0
41,15723827,Hsia,683,France,Male,30.0,4,114779.35,1,0.0,0.0,183171.47,0
42,15673599,Mamelu,684,Germany,Female,31.0,3,142293.54,3,1.0,0.0,146650.6,1
43,15662494,Ibezimako,696,France,Female,27.0,5,0.0,2,0.0,0.0,181499.77,0
44,15643671,Chiekwugo,773,France,Male,36.0,8,77253.22,2,1.0,1.0,35817.97,0
45,15759537,Ch'iu,591,Germany,Female,35.0,10,101099.9,1,1.0,0.0,195692.3,0
46,15580912,McNeill,488,Germany,Male,34.0,5,154737.88,2,0.0,1.0,172638.13,0
47,15800806,Johnston,685,Spain,Male,31.0,10,122449.31,2,1.0,1.0,180769.55,0
48,15777591,Hs?,579,France,Male,39.0,6,160541.0,2,1.0,1.0,149913.08,0
49,15645353,Chubb,607,France,Male,26.0,1,0.0,2,1.0,0.0,29818.2,0
50,15776824,Aksenov,742,France,Female,29.0,8,92219.41,1,1.0,1.0,132468.76,0
51,15797900,T'ien,611,France,Male,25.0,7,131344.52,1,0.0,1.0,24677.54,0
52,15791342,Onyekachi,677,France,Female,31.0,3,0.0,2,1.0,1.0,182633.63,0
53,15593694,Omeokachie,461,France,Female,40.0,6,122314.64,1,1.0,0.0,172450.19,1
54,15673772,Nkemakolam,753,Spain,Male,37.0,8,0.0,1,1.0,1.0,168816.35,0
55,15775116,Tung,634,France,Female,47.0,1,0.0,1,1.0,0.0,73883.56,1
56,15780088,Porter,647,Spain,Male,34.0,9,132439.99,1,1.0,0.0,177747.72,0
57,15791774,Goliwe,577,France,Male,36.0,3,112668.48,1,1.0,1.0,171344.02,0
58,15637366,Su,809,France,Male,31.0,5,0.0,2,1.0,0.0,122782.5,0
59,15579787,Nkemakonam,686,France,Female,45.0,4,0.0,1,1.0,0.0,155023.93,1
60,15640034,Mazzi,633,France,Female,29.0,6,0.0,2,1.0,0.0,93874.67,0
61,15807335,Hsueh,494,France,Female,36.0,6,0.0,1,1.0,1.0,95583.52,0
62,15720509,Shao,699,France,Male,31.0,7,0.0,2,1.0,0.0,171922.92,0
63,15797733,Macfarlan,668,Germany,Male,38.0,4,131136.97,2,1.0,1.0,93713.83,0
64,15719579,Calabrese,703,France,Male,37.0,1,0.0,2,1.0,1.0,166850.97,0
65,15725882,Nwachukwu,663,France,Female,54.0,6,0.0,1,1.0,1.0,170950.58,1
66,15763612,T'an,756,Germany,Male,41.0,3,124439.49,2,1.0,1.0,47093.11,0
67,15706232,Hs?,648,Spain,Male,56.0,0,110939.3,1,1.0,1.0,92927.42,1
68,15726354,Walker,599,Spain,Male,35.0,8,0.0,2,1.0,1.0,59816.41,0
69,15747541,Maclean,678,Germany,Female,43.0,8,129845.53,1,0.0,0.0,120853.51,1
70,15660301,T'ien,563,France,Male,43.0,7,146425.31,1,1.0,0.0,139435.54,0
71,15796849,Hsiung,682,Germany,Female,34.0,5,126731.71,1,1.0,0.0,153870.58,1
72,15674343,Lettiere,620,France,Male,46.0,8,177799.83,1,1.0,1.0,45414.09,0
73,15593772,Shao,721,Spain,Male,30.0,9,0.0,2,1.0,1.0,177747.05,0
74,15646563,Y?,652,France,Male,40.0,0,0.0,2,0.0,0.0,145593.85,0
75,15791326,Macleod,535,France,Male,34.0,3,123575.51,2,1.0,1.0,121525.48,0
76,15654296,Mazzanti,584,Germany,Male,26.0,1,127539.9,2,0.0,0.0,82712.53,0
77,15660688,King,701,Spain,Female,35.0,2,0.0,2,0.0,0.0,170996.86,0
78,15780038,Ts'ai,577,France,Male,42.0,2,127539.97,1,1.0,1.0,85412.28,0
79,15792818,Blair,663,Germany,Female,34.0,1,131569.63,1,1.0,1.0,158071.69,0
80,15762882,Hsia,640,Spain,Male,50.0,1,0.0,2,0.0,1.0,13906.34,0
81,15692931,Palermo,711,Spain,Male,36.0,1,139422.39,1,1.0,0.0,44965.44,0
82,15603840,Lo Duca,707,Germany,Female,38.0,5,106920.91,1,0.0,1.0,52404.47,1
83,15651581,Bales,631,France,Male,31.0,1,141859.12,1,1.0,1.0,74532.02,0
84,15777797,Nnaemeka,637,Spain,Male,64.0,1,0.0,1,0.0,1.0,181490.42,0
85,15616700,H?,622,France,Male,29.0,9,0.0,2,1.0,1.0,155786.39,0
86,15659234,Chiang,494,France,Male,30.0,3,85704.95,1,1.0,0.0,27886.06,0
87,15673877,Ibeabuchi,775,France,Female,20.0,6,109026.6,1,1.0,1.0,120801.65,0
88,15784700,Chikelu,817,France,Female,31.0,7,117799.28,1,1.0,1.0,182372.35,0
89,15768233,Fanucci,703,France,Male,38.0,10,0.0,2,1.0,1.0,170886.87,0
90,15690175,Fanucci,592,Spain,Male,32.0,7,0.0,2,1.0,1.0,140941.47,0
91,15579526,Niu,743,Germany,Male,37.0,2,132627.51,1,1.0,0.0,183566.87,1
92,15623082,Ndukaku,726,France,Female,26.0,5,0.0,2,1.0,0.0,52449.97,1
